# Bombaci-Logoteta BBL delta=1 table.
# Source: http://arxiv.org/abs/1805.11846
#
# Columns:
#   n         epsilon     P          xp        xe
#   fm^-3     MeV/fm^3   MeV/fm^3   1         1
2.6813E-01 2.6065E+02 1.2807E+01 9.955E-02 6.941E-02
2.7383E-01 2.6647E+02 1.3598E+01 1.018E-01 7.041E-02
2.7953E-01 2.7231E+02 1.4420E+01 1.040E-01 7.140E-02
2.8523E-01 2.7817E+02 1.5274E+01 1.062E-01 7.240E-02
2.9093E-01 2.8404E+02 1.6161E+01 1.084E-01 7.339E-02
2.9664E-01 2.8993E+02 1.7081E+01 1.106E-01 7.438E-02
3.0234E-01 2.9584E+02 1.8034E+01 1.128E-01 7.537E-02
3.0804E-01 3.0177E+02 1.9021E+01 1.150E-01 7.636E-02
3.1374E-01 3.0771E+02 2.0043E+01 1.172E-01 7.734E-02
3.1944E-01 3.1368E+02 2.1100E+01 1.194E-01 7.832E-02
3.2514E-01 3.1966E+02 2.2193E+01 1.215E-01 7.930E-02
3.3084E-01 3.2567E+02 2.3322E+01 1.237E-01 8.028E-02
3.3654E-01 3.3169E+02 2.4487E+01 1.258E-01 8.126E-02
3.4224E-01 3.3774E+02 2.5689E+01 1.280E-01 8.223E-02
3.4794E-01 3.4380E+02 2.6929E+01 1.301E-01 8.320E-02
3.5364E-01 3.4988E+02 2.8208E+01 1.322E-01 8.417E-02
3.5935E-01 3.5599E+02 2.9524E+01 1.343E-01 8.513E-02
3.6505E-01 3.6212E+02 3.0880E+01 1.364E-01 8.609E-02
3.7075E-01 3.6826E+02 3.2276E+01 1.385E-01 8.705E-02
3.7645E-01 3.7443E+02 3.3711E+01 1.406E-01 8.800E-02
3.8215E-01 3.8063E+02 3.5187E+01 1.427E-01 8.895E-02
3.8785E-01 3.8684E+02 3.6704E+01 1.447E-01 8.990E-02
3.9355E-01 3.9308E+02 3.8263E+01 1.468E-01 9.084E-02
3.9925E-01 3.9934E+02 3.9863E+01 1.489E-01 9.178E-02
4.0495E-01 4.0562E+02 4.1506E+01 1.509E-01 9.272E-02
4.1065E-01 4.1193E+02 4.3192E+01 1.529E-01 9.365E-02
4.1636E-01 4.1826E+02 4.4921E+01 1.549E-01 9.458E-02
4.2206E-01 4.2461E+02 4.6694E+01 1.569E-01 9.550E-02
4.2776E-01 4.3099E+02 4.8511E+01 1.589E-01 9.642E-02
4.3346E-01 4.3739E+02 5.0373E+01 1.609E-01 9.734E-02
4.3916E-01 4.4382E+02 5.2281E+01 1.629E-01 9.825E-02
4.4486E-01 4.5027E+02 5.4234E+01 1.649E-01 9.916E-02
4.5056E-01 4.5675E+02 5.6233E+01 1.668E-01 1.001E-01
4.5626E-01 4.6325E+02 5.8279E+01 1.688E-01 1.010E-01
4.6196E-01 4.6978E+02 6.0373E+01 1.707E-01 1.019E-01
4.6766E-01 4.7634E+02 6.2513E+01 1.726E-01 1.027E-01
4.7336E-01 4.8292E+02 6.4702E+01 1.745E-01 1.036E-01
4.7907E-01 4.8953E+02 6.6939E+01 1.764E-01 1.045E-01
4.8477E-01 4.9617E+02 6.9225E+01 1.783E-01 1.054E-01
4.9047E-01 5.0283E+02 7.1561E+01 1.802E-01 1.063E-01
4.9617E-01 5.0952E+02 7.3947E+01 1.821E-01 1.071E-01
5.0187E-01 5.1624E+02 7.6382E+01 1.839E-01 1.080E-01
5.0757E-01 5.2298E+02 7.8869E+01 1.858E-01 1.088E-01
5.1327E-01 5.2976E+02 8.1407E+01 1.876E-01 1.097E-01
5.1897E-01 5.3656E+02 8.3996E+01 1.894E-01 1.105E-01
5.2467E-01 5.4339E+02 8.6638E+01 1.913E-01 1.114E-01
5.3037E-01 5.5025E+02 8.9332E+01 1.931E-01 1.122E-01
5.3607E-01 5.5714E+02 9.2080E+01 1.948E-01 1.131E-01
5.4178E-01 5.6406E+02 9.4881E+01 1.966E-01 1.139E-01
5.4748E-01 5.7101E+02 9.7736E+01 1.984E-01 1.147E-01
5.5318E-01 5.7799E+02 1.0064E+02 2.002E-01 1.155E-01
5.5888E-01 5.8500E+02 1.0361E+02 2.019E-01 1.163E-01
5.6458E-01 5.9203E+02 1.0663E+02 2.036E-01 1.172E-01
5.7028E-01 5.9911E+02 1.0970E+02 2.054E-01 1.180E-01
5.7598E-01 6.0621E+02 1.1284E+02 2.071E-01 1.188E-01
5.8168E-01 6.1334E+02 1.1602E+02 2.088E-01 1.195E-01
5.8738E-01 6.2050E+02 1.1927E+02 2.105E-01 1.203E-01
5.9308E-01 6.2770E+02 1.2257E+02 2.122E-01 1.211E-01
5.9879E-01 6.3493E+02 1.2593E+02 2.138E-01 1.219E-01
6.0449E-01 6.4219E+02 1.2935E+02 2.155E-01 1.227E-01
6.1019E-01 6.4948E+02 1.3283E+02 2.171E-01 1.234E-01
6.1589E-01 6.5681E+02 1.3637E+02 2.188E-01 1.242E-01
6.2159E-01 6.6416E+02 1.3997E+02 2.204E-01 1.250E-01
6.2729E-01 6.7156E+02 1.4362E+02 2.220E-01 1.257E-01
6.3299E-01 6.7898E+02 1.4734E+02 2.236E-01 1.265E-01
6.3869E-01 6.8644E+02 1.5112E+02 2.252E-01 1.272E-01
6.4439E-01 6.9393E+02 1.5496E+02 2.268E-01 1.280E-01
6.5009E-01 7.0146E+02 1.5887E+02 2.284E-01 1.287E-01
6.5579E-01 7.0902E+02 1.6283E+02 2.299E-01 1.294E-01
6.6150E-01 7.1662E+02 1.6686E+02 2.315E-01 1.301E-01
6.6720E-01 7.2425E+02 1.7095E+02 2.330E-01 1.309E-01
6.7290E-01 7.3192E+02 1.7511E+02 2.345E-01 1.316E-01
6.7860E-01 7.3962E+02 1.7933E+02 2.361E-01 1.323E-01
6.8430E-01 7.4736E+02 1.8361E+02 2.376E-01 1.330E-01
6.9000E-01 7.5513E+02 1.8796E+02 2.391E-01 1.337E-01
6.9570E-01 7.6294E+02 1.9238E+02 2.406E-01 1.344E-01
7.0140E-01 7.7079E+02 1.9686E+02 2.420E-01 1.351E-01
7.0710E-01 7.7867E+02 2.0141E+02 2.435E-01 1.358E-01
7.1280E-01 7.8659E+02 2.0603E+02 2.450E-01 1.365E-01
7.1850E-01 7.9455E+02 2.1071E+02 2.464E-01 1.371E-01
7.2421E-01 8.0254E+02 2.1546E+02 2.478E-01 1.378E-01
7.2991E-01 8.1058E+02 2.2028E+02 2.493E-01 1.385E-01
7.3561E-01 8.1865E+02 2.2517E+02 2.507E-01 1.391E-01
7.4131E-01 8.2676E+02 2.3012E+02 2.521E-01 1.398E-01
7.4701E-01 8.3490E+02 2.3515E+02 2.535E-01 1.404E-01
7.5271E-01 8.4309E+02 2.4025E+02 2.549E-01 1.411E-01
7.5841E-01 8.5131E+02 2.4541E+02 2.563E-01 1.417E-01
7.6411E-01 8.5958E+02 2.5065E+02 2.576E-01 1.424E-01
7.6981E-01 8.6788E+02 2.5596E+02 2.590E-01 1.430E-01
7.7551E-01 8.7622E+02 2.6134E+02 2.603E-01 1.436E-01
7.8121E-01 8.8461E+02 2.6679E+02 2.617E-01 1.443E-01
7.8692E-01 8.9303E+02 2.7232E+02 2.630E-01 1.449E-01
7.9262E-01 9.0149E+02 2.7792E+02 2.643E-01 1.455E-01
7.9832E-01 9.0999E+02 2.8359E+02 2.656E-01 1.461E-01
8.0402E-01 9.1854E+02 2.8934E+02 2.669E-01 1.467E-01
8.0972E-01 9.2712E+02 2.9516E+02 2.682E-01 1.473E-01
8.1542E-01 9.3575E+02 3.0106E+02 2.695E-01 1.479E-01
8.2112E-01 9.4442E+02 3.0703E+02 2.708E-01 1.485E-01
8.2682E-01 9.5313E+02 3.1308E+02 2.720E-01 1.491E-01
8.3252E-01 9.6188E+02 3.1920E+02 2.733E-01 1.497E-01
8.3822E-01 9.7067E+02 3.2540E+02 2.745E-01 1.503E-01
8.4393E-01 9.7951E+02 3.3168E+02 2.757E-01 1.509E-01
8.4963E-01 9.8839E+02 3.3803E+02 2.770E-01 1.514E-01
8.5533E-01 9.9731E+02 3.4447E+02 2.782E-01 1.520E-01
8.6103E-01 1.0063E+03 3.5098E+02 2.794E-01 1.526E-01
8.6673E-01 1.0153E+03 3.5757E+02 2.806E-01 1.531E-01
8.7243E-01 1.0243E+03 3.6424E+02 2.818E-01 1.537E-01
8.7813E-01 1.0334E+03 3.7098E+02 2.830E-01 1.542E-01
8.8383E-01 1.0426E+03 3.7781E+02 2.841E-01 1.548E-01
8.8953E-01 1.0518E+03 3.8472E+02 2.853E-01 1.553E-01
8.9523E-01 1.0610E+03 3.9171E+02 2.865E-01 1.559E-01
9.0093E-01 1.0703E+03 3.9879E+02 2.876E-01 1.564E-01
9.0664E-01 1.0796E+03 4.0594E+02 2.888E-01 1.570E-01
9.1234E-01 1.0889E+03 4.1318E+02 2.899E-01 1.575E-01
9.1804E-01 1.0983E+03 4.2050E+02 2.910E-01 1.580E-01
9.2374E-01 1.1078E+03 4.2790E+02 2.921E-01 1.585E-01
9.2944E-01 1.1173E+03 4.3538E+02 2.932E-01 1.591E-01
9.3514E-01 1.1268E+03 4.4295E+02 2.943E-01 1.596E-01
9.4084E-01 1.1364E+03 4.5061E+02 2.954E-01 1.601E-01
9.4654E-01 1.1461E+03 4.5835E+02 2.965E-01 1.606E-01
9.5224E-01 1.1558E+03 4.6617E+02 2.976E-01 1.611E-01
9.5794E-01 1.1655E+03 4.7408E+02 2.987E-01 1.616E-01
9.6364E-01 1.1753E+03 4.8208E+02 2.997E-01 1.621E-01
9.6935E-01 1.1851E+03 4.9016E+02 3.008E-01 1.626E-01
9.7505E-01 1.1950E+03 4.9833E+02 3.018E-01 1.631E-01
9.8075E-01 1.2049E+03 5.0659E+02 3.029E-01 1.636E-01
9.8645E-01 1.2149E+03 5.1493E+02 3.039E-01 1.640E-01
9.9215E-01 1.2249E+03 5.2337E+02 3.049E-01 1.645E-01
9.9785E-01 1.2350E+03 5.3189E+02 3.059E-01 1.650E-01
1.0036E+00 1.2451E+03 5.4050E+02 3.069E-01 1.655E-01
1.0093E+00 1.2553E+03 5.4920E+02 3.079E-01 1.659E-01
1.0150E+00 1.2655E+03 5.5800E+02 3.089E-01 1.664E-01
1.0207E+00 1.2757E+03 5.6688E+02 3.099E-01 1.669E-01
1.0264E+00 1.2861E+03 5.7585E+02 3.109E-01 1.673E-01
1.0321E+00 1.2964E+03 5.8491E+02 3.119E-01 1.678E-01
1.0378E+00 1.3069E+03 5.9407E+02 3.128E-01 1.682E-01
1.0435E+00 1.3173E+03 6.0332E+02 3.138E-01 1.687E-01
1.0492E+00 1.3278E+03 6.1266E+02 3.147E-01 1.691E-01
1.0549E+00 1.3384E+03 6.2209E+02 3.157E-01 1.696E-01
1.0606E+00 1.3490E+03 6.3162E+02 3.166E-01 1.700E-01
1.0663E+00 1.3597E+03 6.4124E+02 3.175E-01 1.704E-01
1.0720E+00 1.3704E+03 6.5095E+02 3.185E-01 1.709E-01
1.0777E+00 1.3812E+03 6.6076E+02 3.194E-01 1.713E-01
1.0834E+00 1.3920E+03 6.7067E+02 3.203E-01 1.717E-01
1.0891E+00 1.4029E+03 6.8067E+02 3.212E-01 1.721E-01
1.0948E+00 1.4138E+03 6.9076E+02 3.221E-01 1.726E-01
1.1005E+00 1.4248E+03 7.0096E+02 3.230E-01 1.730E-01
1.1062E+00 1.4359E+03 7.1124E+02 3.239E-01 1.734E-01
1.1119E+00 1.4470E+03 7.2163E+02 3.248E-01 1.738E-01
1.1176E+00 1.4581E+03 7.3211E+02 3.256E-01 1.742E-01
1.1233E+00 1.4693E+03 7.4270E+02 3.265E-01 1.746E-01
1.1290E+00 1.4806E+03 7.5338E+02 3.274E-01 1.750E-01
1.1347E+00 1.4919E+03 7.6416E+02 3.282E-01 1.754E-01
1.1404E+00 1.5032E+03 7.7503E+02 3.291E-01 1.758E-01
1.1461E+00 1.5146E+03 7.8601E+02 3.299E-01 1.762E-01
1.1518E+00 1.5261E+03 7.9709E+02 3.307E-01 1.766E-01
1.1575E+00 1.5376E+03 8.0827E+02 3.316E-01 1.770E-01
1.1632E+00 1.5492E+03 8.1955E+02 3.324E-01 1.774E-01
1.1689E+00 1.5609E+03 8.3093E+02 3.332E-01 1.777E-01
1.1746E+00 1.5726E+03 8.4241E+02 3.340E-01 1.781E-01
1.1803E+00 1.5843E+03 8.5400E+02 3.348E-01 1.785E-01
1.1860E+00 1.5961E+03 8.6568E+02 3.356E-01 1.789E-01
1.1917E+00 1.6080E+03 8.7748E+02 3.364E-01 1.793E-01
1.1974E+00 1.6199E+03 8.8937E+02 3.372E-01 1.796E-01
1.2031E+00 1.6319E+03 9.0137E+02 3.380E-01 1.800E-01
1.2088E+00 1.6439E+03 9.1347E+02 3.388E-01 1.804E-01
1.2145E+00 1.6560E+03 9.2568E+02 3.396E-01 1.807E-01
1.2202E+00 1.6681E+03 9.3799E+02 3.403E-01 1.811E-01
1.2259E+00 1.6803E+03 9.5040E+02 3.411E-01 1.814E-01
1.2316E+00 1.6926E+03 9.6293E+02 3.419E-01 1.818E-01
1.2373E+00 1.7049E+03 9.7556E+02 3.426E-01 1.821E-01
1.2430E+00 1.7173E+03 9.8829E+02 3.434E-01 1.825E-01
1.2487E+00 1.7297E+03 1.0011E+03 3.441E-01 1.828E-01
1.2544E+00 1.7422E+03 1.0141E+03 3.448E-01 1.832E-01
1.2601E+00 1.7548E+03 1.0271E+03 3.456E-01 1.835E-01
1.2658E+00 1.7674E+03 1.0403E+03 3.463E-01 1.839E-01
1.2715E+00 1.7801E+03 1.0536E+03 3.470E-01 1.842E-01
1.2772E+00 1.7928E+03 1.0670E+03 3.478E-01 1.845E-01
1.2829E+00 1.8056E+03 1.0805E+03 3.485E-01 1.849E-01
1.2886E+00 1.8185E+03 1.0941E+03 3.492E-01 1.852E-01
1.2943E+00 1.8314E+03 1.1078E+03 3.499E-01 1.855E-01
1.3000E+00 1.8444E+03 1.1216E+03 3.506E-01 1.858E-01
